Location,Cruise,Latitude,Longitude,Date_Time,Temp,Sal,DO,Depth,pH,Sigma_t
Well 7,1,32.7069,79.6611,6/7/18 10:10,27.52,33.74,6.49,0.14,7.99,21.63
Well 7,1,32.7069,79.6611,6/7/18 10:11,27.32,33.93,6.45,0.87,8.01,21.84
Well 7,1,32.7069,79.6611,6/7/18 10:12,27.35,34.66,6.24,1.99,8.01,22.37
Well 7,1,32.7069,79.6611,6/7/18 10:12,27.32,34.81,6.14,3.12,8.01,22.5
Well 7,1,32.7069,79.6611,6/7/18 10:12,27.28,34.91,6.05,4.13,8.01,22.58
Well 7,1,32.7069,79.6611,6/7/18 10:13,26.6,35.53,5.94,5.54,8,23.27
Well 7,1,32.7069,79.6611,6/7/18 10:13,25.84,35.91,5.69,6.15,7.98,23.79
Well 7,1,32.7069,79.6611,6/7/18 10:13,25.81,35.92,5.52,7.28,7.98,23.81
Well 7,1,32.7069,79.6611,6/7/18 10:14,25.84,35.91,5.43,5.88,7.98,23.79
Well 7,1,32.7069,79.6611,6/7/18 10:14,26.78,35.42,5.67,4.87,8.02,23.13
Well 7,1,32.7069,79.6611,6/7/18 10:15,27.26,34.93,5.72,3.92,8.03,22.61
Well 7,1,32.7069,79.6611,6/7/18 10:15,27.33,34.81,5.75,2.9,8.04,22.49
Well 7,1,32.7069,79.6611,6/7/18 10:15,27.35,34.68,5.78,1.87,8.04,22.39
Well 7,1,32.7069,79.6611,6/7/18 10:15,27.33,34.36,5.81,0.96,8.04,22.16
Well 7,1,32.7069,79.6611,6/7/18 10:16,27.39,33.83,5.88,0.11,8.05,21.74
Well 12,1,32.7266,79.6151,6/7/18 12:38,27.85,33.79,4.88,0.16,8,21.56
Well 12,1,32.7266,79.6151,6/7/18 12:39,27.99,33.5,5.32,0.79,8.02,21.3
Well 12,1,32.7266,79.6151,6/7/18 12:39,27.47,34.01,5.31,1.71,8.02,21.85
Well 12,1,32.7266,79.6151,6/7/18 12:39,27.21,34.48,5.17,3.04,8.02,22.28
Well 12,1,32.7266,79.6151,6/7/18 12:39,27.16,34.84,5.08,4.01,8.02,22.57
Well 12,1,32.7266,79.6151,6/7/18 12:39,27.08,35.02,4.99,5.12,8.02,22.73
Well 12,1,32.7266,79.6151,6/7/18 12:40,26.89,35.2,4.88,5.71,8.01,22.93
Well 12,1,32.7266,79.6151,6/7/18 12:40,26.42,35.43,4.71,7.13,8.01,23.25
Well 12,1,32.7266,79.6151,6/7/18 12:40,25.32,35.99,4.47,8.07,8.02,24.01
Well 12,1,32.7266,79.6151,6/7/18 12:40,24.94,36.22,4.53,9.09,8.03,24.3
Well 12,1,32.7266,79.6151,6/7/18 12:40,24.89,36.25,4.49,9.99,8.03,24.34
Well 12,1,32.7266,79.6151,6/7/18 12:41,24.88,36.26,4.4,10.56,8.03,24.35
Well 12,1,32.7266,79.6151,6/7/18 12:41,24.88,36.27,4.41,11.85,8.03,24.36
Well 12,1,32.7266,79.6151,6/7/18 12:41,24.88,36.27,4.39,11.71,8.03,24.36
Well 12,1,32.7266,79.6151,6/7/18 12:41,24.88,36.26,4.43,11.01,8.03,24.35
Well 12,1,32.7266,79.6151,6/7/18 12:41,24.88,36.26,4.43,9.79,8.03,24.35
Well 12,1,32.7266,79.6151,6/7/18 12:42,24.88,36.26,4.5,8.57,8.03,24.35
Well 12,1,32.7266,79.6151,6/7/18 12:42,25.03,36.18,4.51,7.78,8.02,24.25
Well 12,1,32.7266,79.6151,6/7/18 12:43,26.63,35.4,4.58,6.11,8.01,23.16
Well 12,1,32.7266,79.6151,6/7/18 12:43,26.88,35.28,4.71,4.99,8.02,22.99
